Date,TotalOI,PMPUL_OI,PMPUS_OI,SDL_OI,SDS_OI,SDD_OI,MML_OI,MMS_OI,MMD_OI,ORL_OI,ORS_OI,ORD_OI,NRL_OI,NRS_OI,TotalOI_Old,PMPUL_Old,PMPUS_Old,SDL_Old,SDS_Old,SDD_Old,MML_Old,MMS_Old,MMD_Old,ORL_Old,ORS_Old,ORD_Old,NRL_Old,NRS_Old,PMPUL_Concentration,PMPUS_Concentration,SDL_Concentration,SDS_Concentration,SDD_Concentration,MML_Concentration,MMS_Concentration,MMD_Concentration,ORL_Concentration,ORS_Concentration,ORD_Concentration,NRL_Concentration,NRS_Concentration,TotalT,PMPUL_T,PMPUS_T,SDL_T,SDS_T,SDD_T,MML_T,MMS_T,MMD_T,ORL_T,ORS_T,ORD_T,Gross_Long_Top4,Gross_Short_Top4,Gross_Long_Top8,Gross_Short_Top8,Net_Long_Top4,Net_Short_Top4,Net_Long_Top8,Net_Short_Top8,PMPUL_Clustering,PMPUL_PosSize,PMPUS_Clustering,PMPUS_PosSize,MML_Clustering,MML_PosSize,MMS_Clustering,MMS_PosSize,MMD_Clustering,MMD_PosSize,SDL_Clustering,SDL_PosSize,SDS_Clustering,SDS_PosSize,SDD_Clustering,SDD_PosSize,ORL_Clustering,ORL_PosSize,ORS_Clustering,ORS_PosSize,Name
2006-06-13,8614,1296,3059,1176,967,19,3258,3164,0,361,0,0,2504,1405,8614,1296,3059,1176,967,19,3258,3164,0,361,0,0,2504,1405,15.0,35.5,13.7,11.2,0.2,37.8,36.7,0.0,4.2,0.0,0.0,29.1,16.3,51,7.0,13.0,5.0,5.0,,18.0,4.0,0.0,,0.0,0.0,18.0,43.5,31.8,61.4,18.0,43.5,31.8,61.4,13.73,185.14,25.49,235.31,35.29,181.0,7.84,791.0,0.0,0.0,9.8,235.2,9.8,193.4,,,,,0.0,0.0,Platinum
2006-06-20,7379,932,3319,1100,875,74,2964,2018,4,260,0,0,2045,1089,7379,932,3319,1100,875,74,2964,2018,4,260,0,0,2045,1089,12.6,45.0,14.9,11.9,1.0,40.2,27.3,0.1,3.5,0.0,0.0,27.7,14.8,49,5.0,16.0,4.0,4.0,,17.0,4.0,,,0.0,0.0,18.6,38.7,33.4,57.6,18.6,38.7,33.4,57.6,10.2,186.4,32.65,207.44,34.69,174.35,8.16,504.5,,,8.16,275.0,8.16,218.75,,,,,0.0,0.0,Platinum
2006-06-27,8093,1046,3622,1317,1093,55,3036,1908,0,300,60,219,2120,1136,8093,1046,3622,1317,1093,55,3036,1908,0,300,60,219,2120,1136,12.9,44.8,16.3,13.5,0.7,37.5,23.6,0.0,3.7,0.7,2.7,26.2,14.0,51,8.0,16.0,5.0,4.0,,16.0,,0.0,,,,17.2,38.7,31.0,56.7,17.2,38.4,31.0,56.3,15.69,130.75,31.37,226.38,31.37,189.75,,,0.0,0.0,9.8,263.4,7.84,273.25,,,,,,,Platinum
2006-07-03,7338,656,3905,1185,1266,0,3058,1178,0,367,60,3,2069,926,7338,656,3905,1185,1266,0,3058,1178,0,367,60,3,2069,926,8.9,53.2,16.1,17.3,0.0,41.7,16.1,0.0,5.0,0.8,0.0,28.2,12.6,50,6.0,14.0,5.0,4.0,0.0,17.0,,0.0,,,,19.2,39.7,33.9,62.1,19.2,39.7,33.9,62.1,12.0,109.33,28.0,278.93,34.0,179.88,,,0.0,0.0,10.0,237.0,8.0,316.5,0.0,0.0,,,,,Platinum
2006-07-11,8213,423,4336,1044,2052,22,3897,833,0,492,113,3,2332,854,8213,423,4336,1044,2052,22,3897,833,0,492,113,3,2332,854,5.2,52.8,12.7,25.0,0.3,47.4,10.1,0.0,6.0,1.4,0.0,28.4,10.4,55,4.0,15.0,4.0,6.0,,20.0,,0.0,,,,20.0,41.4,33.6,61.4,20.0,41.4,33.6,61.4,7.27,105.75,27.27,289.07,36.36,194.85,,,0.0,0.0,7.27,261.0,10.91,342.0,,,,,,,Platinum
2006-07-18,9022,438,4925,1043,2000,13,4471,833,0,478,60,248,2331,943,9022,438,4925,1043,2000,13,4471,833,0,478,60,248,2331,943,4.9,54.6,11.6,22.2,0.1,49.6,9.2,0.0,5.3,0.7,2.7,25.8,10.5,57,6.0,16.0,4.0,5.0,,21.0,,0.0,,,,21.9,38.0,35.1,58.6,21.9,38.0,35.1,58.3,10.53,73.0,28.07,307.81,36.84,212.9,,,0.0,0.0,7.02,260.75,8.77,400.0,,,,,,,Platinum
2006-07-25,8567,432,4903,1137,1946,6,4145,583,0,478,65,250,2119,814,8567,432,4903,1137,1946,6,4145,583,0,478,65,250,2119,814,5.0,57.2,13.3,22.7,0.1,48.4,6.8,0.0,5.6,0.8,2.9,24.7,9.5,55,6.0,16.0,5.0,5.0,,19.0,,0.0,,,,24.3,39.5,38.0,60.9,24.3,39.3,38.0,60.7,10.91,72.0,29.09,306.44,34.55,218.16,,,0.0,0.0,9.09,227.4,9.09,389.2,,,,,,,Platinum
2006-08-01,9272,404,5219,1175,2451,0,4789,383,0,526,129,244,2134,846,9272,404,5219,1175,2451,0,4789,383,0,526,129,244,2134,846,4.4,56.3,12.7,26.4,0.0,51.7,4.1,0.0,5.7,1.4,2.6,23.0,9.1,55,,14.0,5.0,5.0,0.0,21.0,,0.0,,,,24.5,41.2,38.2,62.0,24.5,41.0,38.2,61.8,,,25.45,372.79,38.18,228.05,,,0.0,0.0,9.09,235.0,9.09,490.2,0.0,0.0,,,,,Platinum
2006-08-08,10176,394,5517,1260,2894,0,5083,383,0,702,145,308,2429,929,10176,394,5517,1260,2894,0,5083,383,0,702,145,308,2429,929,3.9,54.2,12.4,28.4,0.0,50.0,3.8,0.0,6.9,1.4,3.0,23.9,9.1,58,,15.0,5.0,5.0,0.0,22.0,,0.0,,,,25.4,41.0,38.6,62.2,25.4,40.8,38.6,62.0,,,25.86,367.8,37.93,231.05,,,0.0,0.0,8.62,252.0,8.62,578.8,0.0,0.0,,,,,Platinum
2006-08-15,9948,420,5169,1174,2996,0,4901,383,35,751,60,353,2314,952,9948,420,5169,1174,2996,0,4901,383,35,751,60,353,2314,952,4.2,52.0,11.8,30.1,0.0,49.3,3.9,0.4,7.5,0.6,3.5,23.3,9.6,56,,15.0,4.0,5.0,0.0,22.0,,,,,,26.7,38.0,40.4,58.9,26.7,37.8,40.4,58.7,,,26.79,344.6,39.29,222.77,,,,,7.14,293.5,8.93,599.2,0.0,0.0,,,,,Platinum
2006-08-22,9877,455,5135,1121,2912,0,4588,383,35,945,0,401,2332,1011,9877,455,5135,1121,2912,0,4588,383,35,945,0,401,2332,1011,4.6,52.0,11.3,29.5,0.0,46.5,3.9,0.4,9.6,0.0,4.1,23.6,10.2,52,,15.0,4.0,5.0,0.0,18.0,,,4.0,0.0,4.0,27.4,37.7,41.1,59.3,27.4,37.5,41.1,59.1,,,28.85,342.33,34.62,254.89,,,,,7.69,280.25,9.62,582.4,0.0,0.0,7.69,236.25,0.0,0.0,Platinum
2006-08-29,9665,537,5036,1125,2643,0,4612,525,70,756,0,427,2138,964,9665,537,5036,1125,2643,0,4612,525,70,756,0,427,2138,964,5.6,52.1,11.6,27.3,0.0,47.7,5.4,0.7,7.8,0.0,4.4,22.1,10.0,54,4.0,15.0,4.0,5.0,0.0,17.0,,,4.0,0.0,5.0,27.3,37.3,41.3,58.0,27.3,37.3,41.3,58.0,7.41,134.25,27.78,335.73,31.48,271.29,,,,,7.41,281.25,9.26,528.6,0.0,0.0,7.41,189.0,0.0,0.0,Platinum
2006-09-05,10269,601,5371,1176,3146,14,5203,575,0,687,70,81,2507,1012,10269,601,5371,1176,3146,14,5203,575,0,687,70,81,2507,1012,5.9,52.3,11.5,30.6,0.1,50.7,5.6,0.0,6.7,0.7,0.8,24.4,9.9,62,4.0,17.0,4.0,6.0,,22.0,4.0,0.0,,,,26.9,40.1,40.5,61.0,26.9,40.1,39.7,61.0,6.45,150.25,27.42,315.94,35.48,236.5,6.45,143.75,0.0,0.0,6.45,294.0,9.68,524.33,,,,,,,Platinum
2006-09-12,9399,461,4804,1165,2671,53,4359,600,70,1288,0,54,1949,1147,9399,461,4804,1165,2671,53,4359,600,70,1288,0,54,1949,1147,4.9,51.1,12.4,28.4,0.6,46.4,6.4,0.7,13.7,0.0,0.6,20.7,12.2,57,,16.0,4.0,7.0,,18.0,4.0,,4.0,0.0,,32.2,37.1,45.7,59.7,32.2,37.1,45.7,59.3,,,28.07,300.25,31.58,242.17,7.02,150.0,,,7.02,291.25,12.28,381.57,,,7.02,322.0,0.0,0.0,Platinum
2006-09-19,8528,739,4074,1081,2440,15,3433,550,64,1338,0,51,1807,1334,8528,739,4074,1081,2440,15,3433,550,64,1338,0,51,1807,1334,8.7,47.8,12.7,28.6,0.2,40.3,6.4,0.8,15.7,0.0,0.6,21.2,15.6,51,5.0,14.0,4.0,5.0,,16.0,,,5.0,0.0,,32.0,33.8,45.6,58.0,32.0,33.8,45.6,57.0,9.8,147.8,27.45,291.0,31.37,214.56,,,,,7.84,270.25,9.8,488.0,,,9.8,267.6,0.0,0.0,Platinum
