Date,TotalOI,PMPUL_OI,PMPUS_OI,SDL_OI,SDS_OI,SDD_OI,MML_OI,MMS_OI,MMD_OI,ORL_OI,ORS_OI,ORD_OI,NRL_OI,NRS_OI,TotalOI_Old,PMPUL_Old,PMPUS_Old,SDL_Old,SDS_Old,SDD_Old,MML_Old,MMS_Old,MMD_Old,ORL_Old,ORS_Old,ORD_Old,NRL_Old,NRS_Old,PMPUL_Concentration,PMPUS_Concentration,SDL_Concentration,SDS_Concentration,SDD_Concentration,MML_Concentration,MMS_Concentration,MMD_Concentration,ORL_Concentration,ORS_Concentration,ORD_Concentration,NRL_Concentration,NRS_Concentration,TotalT,PMPUL_T,PMPUS_T,SDL_T,SDS_T,SDD_T,MML_T,MMS_T,MMD_T,ORL_T,ORS_T,ORD_T,Gross_Long_Top4,Gross_Short_Top4,Gross_Long_Top8,Gross_Short_Top8,Net_Long_Top4,Net_Short_Top4,Net_Long_Top8,Net_Short_Top8,PMPUL_Clustering,PMPUL_PosSize,PMPUS_Clustering,PMPUS_PosSize,MML_Clustering,MML_PosSize,MMS_Clustering,MMS_PosSize,MMD_Clustering,MMD_PosSize,SDL_Clustering,SDL_PosSize,SDS_Clustering,SDS_PosSize,SDD_Clustering,SDD_PosSize,ORL_Clustering,ORL_PosSize,ORS_Clustering,ORS_PosSize,Name
2014-09-30,74424,39475,46007,15270,3924,1163,11915,8105,602,1809,9078,1246,2944,4299,75245,38902,43080,6800,3052,386,7427,17418,2813,12543,2133,2714,3660,3649,53.0,61.8,20.5,5.3,1.6,16.0,10.9,0.8,2.4,12.2,1.7,4.0,5.8,118,42,38,15,6,7,15,20,6,7,3,7,,,,,,,,,35.59,939.88,32.2,1210.71,12.71,794.33,16.95,405.25,5.08,100.33,12.71,1018.0,5.08,654.0,5.93,166.14,5.93,258.43,2.54,3026.0,Sugar
2014-10-07,75076,40589,49052,14091,4239,1100,13287,7192,663,1627,7939,1000,2719,3891,74424,39475,46007,15270,3924,1163,11915,8105,602,1809,9078,1246,2944,4299,54.1,65.3,18.8,5.6,1.5,17.7,9.6,0.9,2.2,10.6,1.3,3.6,5.2,118,40,41,17,7,8,15,17,6,6,2,6,,,,,,,,,33.9,1014.73,34.75,1196.39,12.71,885.8,14.41,423.06,5.08,110.5,14.41,828.88,5.93,605.57,6.78,137.5,5.08,271.17,1.69,3969.5,Sugar
2014-10-14,75182,43117,48079,11409,4981,1330,12563,7252,806,1902,7409,622,3433,4703,75076,40589,49052,14091,4239,1100,13287,7192,663,1627,7939,1000,2719,3891,57.4,64.0,15.2,6.6,1.8,16.7,9.6,1.1,2.5,9.9,0.8,4.6,6.3,116,43,41,15,7,9,14,17,6,8,2,5,,,,,,,,,37.07,1002.72,35.34,1172.66,12.07,897.36,14.66,426.59,5.17,134.33,12.93,760.6,6.03,711.57,7.76,147.78,6.9,237.75,1.72,3704.5,Sugar
2014-10-21,82809,45174,50943,14579,4202,949,8966,6942,2848,8229,7496,1146,918,8283,75182,43117,48079,11409,4981,1330,12563,7252,806,1902,7409,622,3433,4703,54.6,61.5,17.6,5.1,1.1,10.8,8.4,3.4,9.9,9.1,1.4,1.1,10.0,113,42,40,14,6,7,11,17,8,8,2,8,,,,,,,,,37.17,1075.57,35.4,1273.58,9.73,815.09,15.04,408.35,7.08,356.0,12.39,1041.36,5.31,700.33,6.19,135.57,7.08,1028.62,1.77,3748.0,Sugar
2014-10-28,83564,45820,52681,15037,3944,1391,8924,6655,1175,3011,7156,967,7239,9595,82809,45174,50943,14579,4202,949,8966,6942,2848,8229,7496,1146,918,8283,54.8,63.0,18.0,4.7,1.7,10.7,8.0,1.4,3.6,8.6,1.2,8.7,11.5,116,43,46,15,6,7,12,19,9,5,3,6,,,,,,,,,37.07,1065.58,39.66,1145.24,10.34,743.67,16.38,350.26,7.76,130.56,12.93,1002.47,5.17,657.33,6.03,198.71,4.31,602.2,2.59,2385.33,Sugar
2014-11-04,75949,44255,48282,11936,4031,1035,8935,6511,822,3115,6836,782,5069,7650,83564,45820,52681,15037,3944,1391,8924,6655,1175,3011,7156,967,7239,9595,58.3,63.6,15.7,5.3,1.4,11.8,8.6,1.1,4.1,9.0,1.0,6.7,10.1,110,42,42,15,7,8,9,18,5,5,1,3,,,,,,,,,38.18,1053.69,38.18,1149.57,8.18,992.78,16.36,361.72,4.55,164.4,13.64,795.73,6.36,575.86,7.27,129.38,4.55,623.0,0.91,6836.0,Sugar
2014-11-11,65952,34479,41335,12287,4104,1015,9233,6492,622,1264,7143,466,6586,4775,75949,44255,48282,11936,4031,1035,8935,6511,822,3115,6836,782,5069,7650,52.3,62.7,18.6,6.2,1.5,14.0,9.8,0.9,1.9,10.8,0.7,10.0,7.2,111,44,39,18,6,8,10,17,4,3,2,3,,,,,,,,,39.64,783.61,35.14,1059.87,9.01,923.3,15.32,381.88,3.6,155.5,16.22,682.61,5.41,684.0,7.21,126.88,2.7,421.33,1.8,3571.5,Sugar
2014-11-18,68237,33096,45220,17113,3720,874,11268,6389,397,1156,6535,751,3582,4351,65952,34479,41335,12287,4104,1015,9233,6492,622,1264,7143,466,6586,4775,48.5,66.3,25.1,5.5,1.3,16.5,9.4,0.6,1.7,9.6,1.1,5.2,6.4,115,43,43,20,5,6,11,17,3,4,1,2,,,,,,,,,37.39,769.67,37.39,1051.63,9.57,1024.36,14.78,375.82,2.61,132.33,17.39,855.65,4.35,744.0,5.22,145.67,3.48,289.0,0.87,6535.0,Sugar
2014-11-25,70729,35179,47616,17382,3758,1021,11777,6165,389,1058,6769,789,3134,4222,68237,33096,45220,17113,3720,874,11268,6389,397,1156,6535,751,3582,4351,49.7,67.3,24.6,5.3,1.4,16.7,8.7,0.5,1.5,9.6,1.1,4.4,6.0,118,45,45,21,6,8,12,16,4,3,1,2,,,,,,,,,38.14,781.76,38.14,1058.13,10.17,981.42,13.56,385.31,3.39,97.25,17.8,827.71,5.08,626.33,6.78,127.62,2.54,352.67,0.85,6769.0,Sugar
2014-12-02,74423,39776,49267,17020,4481,929,11791,6846,395,323,7502,424,3765,4579,70729,35179,47616,17382,3758,1021,11777,6165,389,1058,6769,789,3134,4222,53.4,66.2,22.9,6.0,1.2,15.8,9.2,0.5,0.4,10.1,0.6,5.1,6.2,123,50,47,18,7,7,10,19,3,2,2,1,,,,,,,,,40.65,795.52,38.21,1048.23,8.13,1179.1,15.45,360.32,2.44,131.67,14.63,945.56,5.69,640.14,5.69,132.71,1.63,161.5,1.63,3751.0,Sugar
