Date,TotalOI,PMPUL_OI,PMPUS_OI,SDL_OI,SDS_OI,SDD_OI,MML_OI,MMS_OI,MMD_OI,ORL_OI,ORS_OI,ORD_OI,NRL_OI,NRS_OI,TotalOI_Old,PMPUL_Old,PMPUS_Old,SDL_Old,SDS_Old,SDD_Old,MML_Old,MMS_Old,MMD_Old,ORL_Old,ORS_Old,ORD_Old,NRL_Old,NRS_Old,PMPUL_Concentration,PMPUS_Concentration,SDL_Concentration,SDS_Concentration,SDD_Concentration,MML_Concentration,MMS_Concentration,MMD_Concentration,ORL_Concentration,ORS_Concentration,ORD_Concentration,NRL_Concentration,NRS_Concentration,TotalT,PMPUL_T,PMPUS_T,SDL_T,SDS_T,SDD_T,MML_T,MMS_T,MMD_T,ORL_T,ORS_T,ORD_T,Gross_Long_Top4,Gross_Short_Top4,Gross_Long_Top8,Gross_Short_Top8,Net_Long_Top4,Net_Short_Top4,Net_Long_Top8,Net_Short_Top8,PMPUL_Clustering,PMPUL_PosSize,PMPUS_Clustering,PMPUS_PosSize,MML_Clustering,MML_PosSize,MMS_Clustering,MMS_PosSize,MMD_Clustering,MMD_PosSize,SDL_Clustering,SDL_PosSize,SDS_Clustering,SDS_PosSize,SDD_Clustering,SDD_PosSize,ORL_Clustering,ORL_PosSize,ORS_Clustering,ORS_PosSize,Name
2014-09-30,95511,36766,55409,5643,12293,1383,30295,4219,8925,2920,1862,3320,6259,8100,95966,41309,66263,972,2705,446,26006,3649,7426,5865,1539,6354,7588,7584,38.5,58.0,5.9,12.9,1.4,31.7,4.4,9.3,3.1,1.9,3.5,6.6,8.5,139,45,43,14,6,5,31,11,20,10,5,12,,,,,,,,,32.37,817.02,30.94,1288.58,22.3,977.26,7.91,383.55,14.39,446.25,10.07,403.07,4.32,2048.83,3.6,276.6,7.19,292.0,3.6,372.4,Coffee
2014-10-07,101061,37006,65739,7688,9558,605,30859,3523,9197,2404,610,4525,8777,7304,95511,36766,55409,5643,12293,1383,30295,4219,8925,2920,1862,3320,6259,8100,36.6,65.0,7.6,9.5,0.6,30.5,3.5,9.1,2.4,0.6,4.5,8.7,7.2,150,50,47,15,4,3,40,9,16,14,3,16,,,,,,,,,33.33,740.12,31.33,1398.7,26.67,771.48,6.0,391.44,10.67,574.81,10.0,512.53,2.67,2389.5,2.0,201.67,9.33,171.71,2.0,203.33,Coffee
2014-10-14,121072,46235,79511,9083,9507,845,33786,5043,14534,2831,610,4494,9264,6528,101061,37006,65739,7688,9558,605,30859,3523,9197,2404,610,4525,8777,7304,38.2,65.7,7.5,7.9,0.7,27.9,4.2,12.0,2.3,0.5,3.7,7.7,5.4,151,49,50,15,4,5,40,10,15,13,4,14,,,,,,,,,32.45,943.57,33.11,1590.22,26.49,844.65,6.62,504.3,9.93,968.93,9.93,605.53,2.65,2376.75,3.31,169.0,8.61,217.77,2.65,152.5,Coffee
2014-10-21,120544,48472,82623,8946,9546,901,30136,2985,14582,5093,1204,4229,8185,4474,121072,46235,79511,9083,9507,845,33786,5043,14534,2831,610,4494,9264,6528,40.2,68.5,7.4,7.9,0.7,25.0,2.5,12.1,4.2,1.0,3.5,6.8,3.7,146,48,47,14,5,4,34,9,14,16,6,13,,,,,,,,,32.88,1009.83,32.19,1757.94,23.29,886.35,6.16,331.67,9.59,1041.57,9.59,639.0,3.42,1909.2,2.74,225.25,10.96,318.31,4.11,200.67,Coffee
2014-10-28,116709,48626,80222,8483,9645,1023,28347,2979,14365,5008,800,3383,7474,4292,120544,48472,82623,8946,9546,901,30136,2985,14582,5093,1204,4229,8185,4474,41.7,68.7,7.3,8.3,0.9,24.3,2.6,12.3,4.3,0.7,2.9,6.4,3.7,137,49,47,14,4,4,33,7,14,14,4,11,,,,,,,,,35.77,992.37,34.31,1706.85,24.09,859.0,5.11,425.57,10.22,1026.07,10.22,605.93,2.92,2411.25,2.92,255.75,10.22,357.71,2.92,200.0,Coffee
2014-11-04,102637,34690,73073,8354,2683,1223,28206,3507,14983,5190,532,2223,7768,4413,116709,48626,80222,8483,9645,1023,28347,2979,14365,5008,800,3383,7474,4292,33.8,71.2,8.1,2.6,1.2,27.5,3.4,14.6,5.1,0.5,2.2,7.6,4.3,141,49,48,14,3,3,38,7,13,12,4,9,,,,,,,,,34.75,707.96,34.04,1522.35,26.95,742.26,4.96,501.0,9.22,1152.54,9.93,596.71,2.13,894.33,2.13,407.67,8.51,432.5,2.84,133.0,Coffee
2014-11-11,100661,34336,71579,8006,2467,1455,27027,2797,15964,4962,459,2037,6874,3903,102637,34690,73073,8354,2683,1223,28206,3507,14983,5190,532,2223,7768,4413,34.1,71.1,8.0,2.5,1.4,26.8,2.8,15.9,4.9,0.5,2.0,6.8,3.9,138,48,47,13,3,4,37,7,12,11,4,10,,,,,,,,,34.78,715.33,34.06,1522.96,26.81,730.46,5.07,399.57,8.7,1330.33,9.42,615.85,2.17,822.33,2.9,363.75,7.97,451.09,2.9,114.75,Coffee
2014-11-18,108615,36966,73938,8465,2315,1066,24991,2975,20623,5341,660,2736,8427,4302,100661,34336,71579,8006,2467,1455,27027,2797,15964,4962,459,2037,6874,3903,34.0,68.1,7.8,2.1,1.0,23.0,2.7,19.0,4.9,0.6,2.5,7.8,4.0,142,45,46,14,3,3,40,9,12,12,2,10,,,,,,,,,31.69,821.47,32.39,1607.35,28.17,624.77,6.34,330.56,8.45,1718.58,9.86,604.64,2.11,771.67,2.11,355.33,8.45,445.08,1.41,330.0,Coffee
2014-11-25,112819,37405,76368,9574,2384,1432,26790,4187,20705,5285,754,3215,8413,3774,108615,36966,73938,8465,2315,1066,24991,2975,20623,5341,660,2736,8427,4302,33.2,67.7,8.5,2.1,1.3,23.7,3.7,18.4,4.7,0.7,2.8,7.5,3.3,150,46,47,13,3,4,42,10,13,12,3,11,,,,,,,,,30.67,813.15,31.33,1624.85,28.0,637.86,6.67,418.7,8.67,1592.69,8.67,736.46,2.0,794.67,2.67,358.0,8.0,440.42,2.0,251.33,Coffee
2014-12-02,112104,37797,73089,9763,2632,1809,25154,4159,20825,4982,769,2339,9435,6482,112819,37405,76368,9574,2384,1432,26790,4187,20705,5285,754,3215,8413,3774,33.7,65.2,8.7,2.3,1.6,22.4,3.7,18.6,4.4,0.7,2.1,8.4,5.8,143,44,47,13,3,6,37,11,13,12,2,8,,,,,,,,,30.77,859.02,32.87,1555.09,25.87,679.84,7.69,378.09,9.09,1601.92,9.09,751.0,2.1,877.33,4.2,301.5,8.39,415.17,1.4,384.5,Coffee
